Time,Title,Types,Number of reads,Comments,Author
10-05 21:42,贝莱德取代平安资管重新成为汇丰控股第一大股东,资讯,9087,1,贝莱德资讯
10-05 16:19,还没坐热就丢了？贝莱德夺回汇丰第一大股东位置 中国,资讯,7080,9,汇丰控股资讯
10-04 22:41,贝莱德增持汇丰再成第一大股东 透露什么信号？,资讯,6346,0,汇丰控股资讯
10-04 20:22,这家万亿巨头第一大股东换人 原来是全球资管一哥砸45,资讯,9815,13,中国平安资讯
10-04 15:41,高盛：维持汇控（00005）“买入”评级 目标价78元,资讯,1586,0,汇丰控股资讯
10-04 15:27,再抢汇丰“头把交椅” 贝莱德巨资增持！中国平安甘当,资讯,17950,8,汇丰控股资讯
10-04 14:28,取代中国平安 贝莱德集团重新成为汇丰控股最大股东,资讯,16865,3,财经评论
10-04 14:10,高盛：微升汇控(0005.HK)目标价至78港元 评级“买入”,资讯,1473,0,汇丰控股资讯
10-04 14:09,汇丰控股(00005.HK)获Black Rock增持7557.56万股,资讯,1575,0,汇丰控股资讯
10-03 18:58,贝莱德增持汇控(00005)7558万股 每股60.1484元,资讯,1687,0,汇丰控股资讯
10-03 18:54,贝莱德增持汇丰(00005)7558万股 每股60.1484元,资讯,1679,0,汇丰控股资讯
10-02 20:22,汇控(00005)派第三次股息每股0.1美元,资讯,1993,1,汇丰控股资讯
10-02 20:02,汇丰控股(00005)将派发2019年第三次股息每股0.1美元 A,资讯,1897,0,汇丰控股资讯
10-02 18:50,汇丰控股(00005.HK)将于11月20日派发2019年第三次股息,资讯,1638,0,汇丰控股资讯
10-02 17:10,2019年度第三次股息; 美國預託股份之股息費; 優先股之,公告,1872,0,汇丰控股资讯
10-02 05:39,港股ADR指数收跌302点 汇控(00005-HK)跌破60元,资讯,1952,0,汇丰控股资讯
09-30 07:32,集團監察委員會的職權範圍,公告,1054,0,汇丰控股资讯
09-30 07:30,提名及企業管治委員會的職權範圍,公告,999,0,汇丰控股资讯
09-30 07:28,集團薪酬委員會的職權範圍,公告,1024,0,汇丰控股资讯
09-27 17:03,汇丰控股(00005)9月26日斥1.49亿港元回购245.55万股,资讯,1449,0,汇丰控股资讯
09-27 16:57,翌日披露報表,公告,1315,0,汇丰控股资讯
09-27 16:53,汇丰控股(00005.HK)9月26日耗资1.49亿港元回购245.55,资讯,1288,0,汇丰控股资讯
09-27 09:11,汇丰控股(00005.HK)回购245.55万股 每股平均价6.2171,资讯,1182,0,汇丰控股资讯
09-27 09:00,汇控上日回购245.5万股 十亿美元回购计划完成,资讯,1370,0,汇丰控股资讯
09-27 07:54,本身股份之交易及回購完成,公告,1250,0,汇丰控股资讯
09-27 07:31,9月27日开盘前瞻:在畅想愉快假日的时候 请先确保仓位,资讯,1356,0,财经评论
09-27 06:45,汇丰银行副主席王冬胜 中国金融市场发展堪称奇迹 对华,资讯,1915,0,汇丰控股资讯
09-26 17:16,汇丰控股(00005)9月25日耗资1.37亿港元回购230.68万股,资讯,1124,0,汇丰控股资讯
09-26 17:03,翌日披露報表,公告,988,0,汇丰控股资讯
09-26 14:17,汇丰控股(00005-HK)购入230.68万股,资讯,835,0,汇丰控股资讯
09-26 07:48,汇丰控股(00005.HK)回购230.68万股 每股平均价6.1073,资讯,1089,0,汇丰控股资讯
09-26 07:38,本身股份之交易,公告,1120,0,汇丰控股资讯
09-25 17:07,汇丰控股(00005.HK)9月24日耗资1.39亿港元回购232.5万,资讯,1104,0,汇丰控股资讯
09-25 17:03,翌日披露報表,公告,975,0,汇丰控股资讯
09-25 07:59,汇丰控股(00005.HK)回购232.5万股 每股平均价6.1275英,资讯,1155,0,汇丰控股资讯
09-25 07:58,汇丰控股(00005)9月24日回购232.5万股以作注销,资讯,1180,0,汇丰控股资讯
09-25 07:43,本身股份之交易,公告,1029,0,汇丰控股资讯
09-24 18:43,汇控因操纵欧元银行同业拆息被罚款，获法院判胜诉,资讯,1195,0,汇丰控股资讯
09-24 16:50,汇丰控股(00005)9月23日斥资1.65亿港元回购274.85万股,资讯,999,0,汇丰控股资讯
09-24 16:43,翌日披露報表,公告,999,0,汇丰控股资讯
09-24 16:43,汇丰控股(00005.HK)9月23日耗资1.65亿港元回购274.9万,资讯,955,0,汇丰控股资讯
09-24 07:52,汇丰控股(00005.HK)回购274.85万股 每股平均价6.1092,资讯,1140,0,汇丰控股资讯
09-24 07:42,本身股份之交易,公告,1135,0,汇丰控股资讯
09-23 16:54,汇丰控股(00005)9月20日授出3212.97万股认股权,资讯,1200,0,汇丰控股资讯
09-23 16:51,汇丰控股(00005)9月20日斥1.51亿港元回购252万股,资讯,1042,0,汇丰控股资讯
09-23 16:49,汇丰控股(00005.HK)9月20日耗资1.51亿港元回购252万股,资讯,1012,0,汇丰控股资讯
09-23 16:47,翌日披露報表,公告,979,0,汇丰控股资讯
09-23 16:43,授出認股權,公告,1008,0,汇丰控股资讯
09-23 16:41,汇丰控股(00005.HK)9月20日授出3212.97万份认股权,资讯,1021,0,汇丰控股资讯
